date,time,latitude,longitude,tcwv,reflectance,sza,saa,vza,vaa,am,epsilon,I0,elevation,ssrd_wm2,alpha,beta,C_raw,AM,theta_z,C_sat,CI,W,TL
20220817,0,-5.25,110.25,47.909,0.155,72.73,74.101,30.868,-100.293,3.368,0.977,1329.724,0.0,81.227,1.49,0.163,0.155,3.368,72.73,0.1141293879550435,0.5586096907985235,4.7909,5.211048149489038
20220817,0,-5.25,111.0,45.952,0.047,72.003,73.965,30.12,-100.526,3.237,0.977,1329.724,0.0,68.48,1.344,0.087,0.047,3.237,72.003,0.0330020691844218,0.1562144422691632,4.5952,3.9566225368622074
20220817,0,-5.25,111.75,42.948,0.055,71.295,73.83,29.393,-100.765,3.118,0.977,1329.724,,72.942,1.144,0.057,0.055,3.118,71.295,0.0369328107343506,0.1757111019253315,4.2948,3.446269726635488
20220817,0,-5.25,112.5,40.081,0.183,70.568,73.687,28.647,-101.024,3.006,0.977,1329.724,0.0,121.653,1.022,0.063,0.183,3.006,70.568,0.1176443323089307,0.5760439771558522,4.008100000000001,3.521057977757878
20220817,0,-5.25,113.25,38.747,0.157,69.861,73.544,27.921,-101.29,2.904,0.977,1329.724,,127.36,1.003,0.085,0.157,2.904,69.861,0.0968768677106449,0.473036393459174,3.8747,3.86696994062869
20220817,0,-5.25,114.0,39.011,0.07,69.135,73.394,27.176,-101.579,2.808,0.977,1329.724,0.0,162.844,0.99,0.102,0.07,2.808,69.135,0.0415031664395678,0.1983802773367397,3.9011000000000005,4.146066967898133
20220817,0,-5.25,114.75,40.055,0.063,68.43,73.244,26.451,-101.877,2.72,0.977,1329.724,0.0,165.564,0.954,0.112,0.063,2.72,68.43,0.0359722825415965,0.1709468377206242,4.0055,4.3186705034698
20220817,0,-5.25,115.5,41.823,0.034,67.705,73.086,25.708,-102.201,2.636,0.977,1329.724,,133.564,0.929,0.111,0.034,2.636,67.705,0.0187072268705553,0.0853113640860921,4.1823,4.317982073405174
20220817,0,-5.25,116.25,43.809,0.016,67.0,72.928,24.985,-102.535,2.559,0.977,1329.724,,106.436,0.937,0.11,0.016,2.559,67.0,0.0085012889127002,0.0346894403832035,4.3809,4.3174543792978595
20220817,0,-6.0,110.25,47.292,0.272,72.934,73.881,30.99,-101.713,3.408,0.977,1329.724,0.0,65.991,1.609,0.19,0.272,3.408,72.934,0.203118540902854,1.0,4.7292000000000005,5.6487218364873595
20220817,0,-6.0,111.0,46.048,0.235,72.208,73.736,30.246,-101.977,3.273,0.977,1329.724,0.0,73.12,1.554,0.1,0.235,3.273,72.208,0.1672060353313433,0.8218723134975197,4.6048,4.1696498033664
20220817,0,-6.0,111.75,43.626,0.073,71.502,73.591,29.522,-102.247,3.152,0.977,1329.724,0.0,114.311,1.364,0.031,0.073,3.152,71.502,0.0496568992202699,0.2388231685656404,4.3626,3.0268675860563756
20220817,0,-6.0,112.5,38.891,0.02,70.777,73.438,28.78,-102.54,3.037,0.977,1329.724,0.0,122.898,1.15,0.027,0.02,3.037,70.777,0.0130155854565482,0.0570805597647398,3.8891,2.9247317486031017
20220817,0,-6.0,113.25,36.114,0.067,70.072,73.285,28.058,-102.84,2.934,0.977,1329.724,0.0,115.822,1.123,0.064,0.067,2.934,70.072,0.0418486526785023,0.2000939050405295,3.6113999999999997,3.499409384181024
20220817,0,-6.0,114.0,36.714,0.072,69.349,73.125,27.317,-103.166,2.835,0.977,1329.724,0.0,104.249,1.098,0.084,0.072,2.835,69.349,0.0431781460236867,0.2066882534445018,3.6713999999999998,3.8304337765965437
20220817,0,-6.0,114.75,38.128,0.035,68.645,72.966,26.597,-103.501,2.746,0.977,1329.724,0.0,167.289,1.022,0.095,0.035,2.746,68.645,0.0202108591012277,0.0927694494058954,3.8128,4.023586742862079
20220817,0,-6.0,115.5,39.313,0.025,67.922,72.797,25.859,-103.866,2.661,0.977,1329.724,0.0,177.422,0.935,0.094,0.025,2.661,67.922,0.0139090484587169,0.0615121775262732,3.9313000000000002,4.018755332181156
20220817,0,-6.0,116.25,40.843,0.03,67.22,72.63,25.141,-104.243,2.583,0.977,1329.724,,168.996,0.852,0.094,0.03,2.583,67.22,0.0161154805070952,0.0724561824055746,4.084300000000001,4.032568703617476
20220817,0,-6.75,110.25,38.61,0.028,73.147,73.659,31.131,-103.161,3.449,0.977,1329.724,0.0,96.338,1.59,0.145,0.028,3.449,73.147,0.021211943425966,0.09773487389861,3.8609999999999998,4.8416043489569995
20220817,0,-6.75,111.0,40.528,0.038,72.423,73.503,30.391,-103.455,3.311,0.977,1329.724,36.0,115.449,1.62,0.132,0.038,3.311,72.423,0.0274144899582229,0.1284997912061725,4.0527999999999995,4.648742231938048
20220817,0,-6.75,111.75,41.19,0.038,71.718,73.348,29.672,-103.756,3.188,0.977,1329.724,0.0,108.107,1.648,0.08,0.038,3.188,71.718,0.0262013389432937,0.1224825061343422,4.119,3.8074268485480003
20220817,0,-6.75,112.5,37.194,0.035,70.996,73.185,28.934,-104.082,3.071,0.977,1329.724,0.0,124.693,1.432,0.03,0.035,3.071,70.996,0.0230807616792663,0.1070042987592933,3.7194000000000003,2.9579759369856795
20220817,0,-6.75,113.25,34.825,0.024,70.292,73.023,28.217,-104.416,2.965,0.977,1329.724,0.0,136.676,1.321,0.049,0.024,2.965,70.292,0.0151793729078121,0.0678130454725178,3.4825000000000004,3.2423440957162497
20220817,0,-6.75,114.0,36.489,0.02,69.571,72.853,27.481,-104.778,2.865,0.977,1329.724,0.0,138.596,1.317,0.078,0.02,2.865,69.571,0.0121441698833488,0.0527582982693074,3.6489,3.730640711335748
20220817,0,-6.75,114.75,38.686,0.018,68.869,72.683,26.767,-105.152,2.774,0.977,1329.724,0.0,123.822,1.235,0.096,0.018,2.774,68.869,0.0105195389950888,0.0447000540187087,3.8686,4.045320985455136
20220817,0,-6.75,115.5,39.499,0.02,68.149,72.505,26.034,-105.557,2.687,0.977,1329.724,0.0,173.653,1.131,0.092,0.02,2.687,68.149,0.011255967923217,0.0483527755192948,3.9499000000000004,3.9879390800856322
20220817,0,-6.75,116.25,40.993,0.032,67.448,72.327,25.321,-105.975,2.607,0.977,1329.724,,174.133,0.989,0.089,0.032,2.607,67.448,0.0173791440115135,0.0787240117585401,4.0993,3.952402377599306
20220817,0,-7.5,110.25,29.145,0.074,73.356,73.445,31.283,-104.558,3.491,0.977,1329.724,340.0,87.662,1.397,0.088,0.074,3.491,73.356,0.0568796357219483,0.2746482752460727,2.9145,3.8031881524542
20220817,0,-7.5,111.0,30.833,0.03,72.634,73.28,30.548,-104.881,3.35,0.977,1329.724,158.0,107.627,1.525,0.075,0.03,3.35,72.634,0.0219482853958562,0.1013871640823189,3.0833,3.6159404496975496
20220817,0,-7.5,111.75,33.419,0.023,71.932,73.116,29.834,-105.211,3.224,0.977,1329.724,152.0,127.271,1.652,0.102,0.023,3.224,71.932,0.0160731956397134,0.0722464475101415,3.3419,4.085191037990612
20220817,0,-7.5,112.5,31.13,0.032,71.211,72.943,29.101,-105.568,3.105,0.977,1329.724,27.0,125.724,1.562,0.068,0.032,3.105,71.211,0.0213808574434136,0.0985726952276139,3.113,3.5066219582832003
20220817,0,-7.5,113.25,29.788,0.016,70.51,72.771,28.389,-105.934,2.997,0.977,1329.724,0.0,148.16,1.394,0.064,0.016,2.997,70.51,0.0102494815372379,0.0433605565532942,2.9788,3.4246454830383364
20220817,0,-7.5,114.0,32.475,0.015,69.791,72.591,27.659,-106.331,2.895,0.977,1329.724,0.0,152.498,1.361,0.087,0.015,2.895,69.791,0.0092213276570137,0.0382608658149746,3.2475,3.83075612831375
