date	time	latitude	longitude	tcwv	reflectance	sza	saa	vza	vaa	am	epsilon	I0	elevation	ssrd_wm2	alpha	beta	Csat	CI
20220801	00	-5.25	110.25	47.516	0.1	74.093	69.504	30.868	-100.293	3.649	0.971	1322.136	0.0	89.084	0.986	0.063	0.081	0.402
20220801	00	-5.25	111.0	47.968	0.029	73.384	69.357	30.12	-100.526	3.497	0.971	1322.136	0.0	98.187	0.938	0.061	0.022	0.106
20220801	00	-5.25	111.75	49.427	0.124	72.695	69.21	29.393	-100.765	3.362	0.971	1322.136		86.133	0.926	0.066	0.091	0.452
20220801	00	-5.25	112.5	52.44	0.099	71.988	69.054	28.647	-101.024	3.234	0.971	1322.136	0.0	47.218	0.972	0.09	0.069	0.342
20220801	00	-5.25	113.25	55.073	0.067	71.3	68.899	27.921	-101.29	3.119	0.971	1322.136		57.351	1.032	0.131	0.045	0.221
20220801	00	-5.25	114.0	56.04	0.11	70.594	68.735	27.176	-101.579	3.01	0.971	1322.136	0.0	69.013	1.049	0.162	0.07	0.347
20220801	00	-5.25	114.75	56.227	0.123	69.908	68.571	26.451	-101.877	2.911	0.971	1322.136	0.0	71.644	1.036	0.168	0.076	0.377
20220801	00	-5.25	115.5	55.913	0.117	69.204	68.397	25.708	-102.201	2.817	0.971	1322.136		83.324	1.016	0.168	0.069	0.342
20220801	00	-5.25	116.25	55.846	0.195	68.519	68.224	24.985	-102.535	2.731	0.971	1322.136		95.573	1.003	0.178	0.111	0.553
20220801	00	-6.0	110.25	42.743	0.117	74.353	69.309	30.99	-101.713	3.708	0.971	1322.136	0.0	89.813	1.2	0.042	0.096	0.477
20220801	00	-6.0	111.0	42.983	0.102	73.646	69.152	30.246	-101.977	3.552	0.971	1322.136	0.0	99.662	0.986	0.031	0.08	0.397
20220801	00	-6.0	111.75	43.198	0.101	72.959	68.996	29.522	-102.247	3.412	0.971	1322.136	0.0	90.844	1.026	0.036	0.075	0.372
20220801	00	-6.0	112.5	45.167	0.07	72.254	68.832	28.78	-102.54	3.281	0.971	1322.136	0.0	68.996	1.083	0.061	0.05	0.246
20220801	00	-6.0	113.25	47.884	0.094	71.568	68.667	28.058	-102.84	3.163	0.971	1322.136	0.0	86.809	1.09	0.104	0.064	0.317
20220801	00	-6.0	114.0	50.38	0.021	70.864	68.494	27.317	-103.166	3.051	0.971	1322.136	0.0	119.271	1.091	0.138	0.014	0.065
20220801	00	-6.0	114.75	51.626	0.059	70.18	68.321	26.597	-103.501	2.949	0.971	1322.136	0.0	119.876	1.075	0.158	0.037	0.181
20220801	00	-6.0	115.5	52.542	0.068	69.478	68.138	25.859	-103.866	2.853	0.971	1322.136	0.0	126.133	1.068	0.161	0.041	0.201
20220801	00	-6.0	116.25	53.126	0.096	68.795	67.956	25.141	-104.243	2.765	0.971	1322.136	0.0	145.191	1.037	0.166	0.056	0.276
20220801	00	-6.75	110.25	35.993	0.023	74.623	69.111	31.131	-103.161	3.771	0.971	1322.136	0.0	92.747	1.534	0.057	0.019	0.09
20220801	00	-6.75	111.0	37.272	0.031	73.918	68.946	30.391	-103.455	3.61	0.971	1322.136	36.0	94.649	1.311	0.036	0.025	0.121
20220801	00	-6.75	111.75	39.804	0.091	73.233	68.781	29.672	-103.756	3.466	0.971	1322.136	0.0	98.844	1.364	0.048	0.069	0.342
20220801	00	-6.75	112.5	41.075	0.109	72.53	68.607	28.934	-104.082	3.331	0.971	1322.136	0.0	89.173	1.289	0.057	0.079	0.392
20220801	00	-6.75	113.25	43.524	0.042	71.846	68.433	28.217	-104.416	3.209	0.971	1322.136	0.0	116.32	1.167	0.083	0.029	0.141
20220801	00	-6.75	114.0	46.145	0.037	71.144	68.25	27.481	-104.778	3.094	0.971	1322.136	0.0	132.782	1.135	0.117	0.024	0.116
20220801	00	-6.75	114.75	47.88	0.028	70.462	68.068	26.767	-105.152	2.99	0.971	1322.136	0.0	138.827	1.128	0.14	0.018	0.085
20220801	00	-6.75	115.5	48.739	0.076	69.763	67.876	26.034	-105.557	2.891	0.971	1322.136	0.0	129.333	1.141	0.151	0.046	0.226
20220801	00	-6.75	116.25	49.462	0.079	69.082	67.685	25.321	-105.975	2.801	0.971	1322.136	0.0	129.689	1.118	0.157	0.046	0.226
