date	time	latitude	longitude	tcwv	reflectance	sza	saa	vza	vaa	am	epsilon	I0	elevation	ssrd_wm2	alpha	beta
20220817	00	-5.25	110.25	47.909	0.155	72.73	74.101	30.868	-100.293	3.368	0.977	1329.724	0.0	81.227	1.49	0.163
20220817	00	-5.25	111.0	45.952	0.047	72.003	73.965	30.12	-100.526	3.237	0.977	1329.724	0.0	68.48	1.344	0.087
20220817	00	-5.25	111.75	42.948	0.055	71.295	73.83	29.393	-100.765	3.118	0.977	1329.724		72.942	1.144	0.057
20220817	00	-5.25	112.5	40.081	0.183	70.568	73.687	28.647	-101.024	3.006	0.977	1329.724	0.0	121.653	1.022	0.063
20220817	00	-5.25	113.25	38.747	0.157	69.861	73.544	27.921	-101.29	2.904	0.977	1329.724		127.36	1.003	0.085
20220817	00	-5.25	114.0	39.011	0.07	69.135	73.394	27.176	-101.579	2.808	0.977	1329.724	0.0	162.844	0.99	0.102
20220817	00	-5.25	114.75	40.055	0.063	68.43	73.244	26.451	-101.877	2.72	0.977	1329.724	0.0	165.564	0.954	0.112
20220817	00	-5.25	115.5	41.823	0.034	67.705	73.086	25.708	-102.201	2.636	0.977	1329.724		133.564	0.929	0.111
20220817	00	-5.25	116.25	43.809	0.016	67.0	72.928	24.985	-102.535	2.559	0.977	1329.724		106.436	0.937	0.11
20220817	00	-6.0	110.25	47.292	0.272	72.934	73.881	30.99	-101.713	3.408	0.977	1329.724	0.0	65.991	1.609	0.19
20220817	00	-6.0	111.0	46.048	0.235	72.208	73.736	30.246	-101.977	3.273	0.977	1329.724	0.0	73.12	1.554	0.1
20220817	00	-6.0	111.75	43.626	0.073	71.502	73.591	29.522	-102.247	3.152	0.977	1329.724	0.0	114.311	1.364	0.031
20220817	00	-6.0	112.5	38.891	0.02	70.777	73.438	28.78	-102.54	3.037	0.977	1329.724	0.0	122.898	1.15	0.027
20220817	00	-6.0	113.25	36.114	0.067	70.072	73.285	28.058	-102.84	2.934	0.977	1329.724	0.0	115.822	1.123	0.064
20220817	00	-6.0	114.0	36.714	0.072	69.349	73.125	27.317	-103.166	2.835	0.977	1329.724	0.0	104.249	1.098	0.084
20220817	00	-6.0	114.75	38.128	0.035	68.645	72.966	26.597	-103.501	2.746	0.977	1329.724	0.0	167.289	1.022	0.095
20220817	00	-6.0	115.5	39.313	0.025	67.922	72.797	25.859	-103.866	2.661	0.977	1329.724	0.0	177.422	0.935	0.094
20220817	00	-6.0	116.25	40.843	0.03	67.22	72.63	25.141	-104.243	2.583	0.977	1329.724	0.0	168.996	0.852	0.094
20220817	00	-6.75	110.25	38.61	0.028	73.147	73.659	31.131	-103.161	3.449	0.977	1329.724	0.0	96.338	1.59	0.145
20220817	00	-6.75	111.0	40.528	0.038	72.423	73.503	30.391	-103.455	3.311	0.977	1329.724	36.0	115.449	1.62	0.132
20220817	00	-6.75	111.75	41.19	0.038	71.718	73.348	29.672	-103.756	3.188	0.977	1329.724	0.0	108.107	1.648	0.08
20220817	00	-6.75	112.5	37.194	0.035	70.996	73.185	28.934	-104.082	3.071	0.977	1329.724	0.0	124.693	1.432	0.03
20220817	00	-6.75	113.25	34.825	0.024	70.292	73.023	28.217	-104.416	2.965	0.977	1329.724	0.0	136.676	1.321	0.049
20220817	00	-6.75	114.0	36.489	0.02	69.571	72.853	27.481	-104.778	2.865	0.977	1329.724	0.0	138.596	1.317	0.078
20220817	00	-6.75	114.75	38.686	0.018	68.869	72.683	26.767	-105.152	2.774	0.977	1329.724	0.0	123.822	1.235	0.096
20220817	00	-6.75	115.5	39.499	0.02	68.149	72.505	26.034	-105.557	2.687	0.977	1329.724	0.0	173.653	1.131	0.092
20220817	00	-6.75	116.25	40.993	0.032	67.448	72.327	25.321	-105.975	2.607	0.977	1329.724	0.0	174.133	0.989	0.089
20220817	00	-7.5	110.25	29.145	0.074	73.356	73.445	31.283	-104.558	3.491	0.977	1329.724	340.0	87.662	1.397	0.088
20220817	00	-7.5	111.0	30.833	0.03	72.634	73.28	30.548	-104.881	3.35	0.977	1329.724	158.0	107.627	1.525	0.075
20220817	00	-7.5	111.75	33.419	0.023	71.932	73.116	29.834	-105.211	3.224	0.977	1329.724	152.0	127.271	1.652	0.102
20220817	00	-7.5	112.5	31.13	0.032	71.211	72.943	29.101	-105.568	3.105	0.977	1329.724	27.0	125.724	1.562	0.068
20220817	00	-7.5	113.25	29.788	0.016	70.51	72.771	28.389	-105.934	2.997	0.977	1329.724	0.0	148.16	1.394	0.064
20220817	00	-7.5	114.0	32.475	0.015	69.791	72.591	27.659	-106.331	2.895	0.977	1329.724	0.0	152.498	1.361	0.087
20220817	00	-7.5	114.75	38.386	0.155	69.091	72.412	26.949	-106.739	2.802	0.977	1329.724	0.0	135.484	1.366	0.108
20220817	00	-7.5	115.5	39.647	0.034	68.373	72.224	26.222	-107.182	2.713	0.977	1329.724	0.0	136.462	1.291	0.106
20220817	00	-7.5	116.25	40.63	0.053	67.675	72.036	25.516	-107.638	2.633	0.977	1329.724		173.209	1.194	0.092
20220817	00	-8.25	110.25	30.055	0.035	73.574	73.229	31.456	-105.98	3.536	0.977	1329.724	0.0	88.924	1.053	0.053
20220817	00	-8.25	111.0	28.577	0.024	72.854	73.054	30.726	-106.331	3.392	0.977	1329.724	0.0	84.622	1.09	0.037
